3.158404798969000000e+12,5.990000000000000000e+02,2.340000000000000000e+02,2.900000000000000000e+01,3.000000000000000000e+01
3.158405195312000000e+12,5.970000000000000000e+02,2.320000000000000000e+02,2.800000000000000000e+01,2.900000000000000000e+01
3.158405449416000000e+12,6.000000000000000000e+02,2.290000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158405693392000000e+12,5.990000000000000000e+02,2.340000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158405897113000000e+12,5.930000000000000000e+02,2.300000000000000000e+02,2.800000000000000000e+01,2.900000000000000000e+01
3.158406097346000000e+12,6.000000000000000000e+02,2.180000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158406308821000000e+12,6.030000000000000000e+02,2.190000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158406517037000000e+12,6.000000000000000000e+02,2.160000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158406748905000000e+12,6.030000000000000000e+02,2.170000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158407005536000000e+12,6.010000000000000000e+02,2.150000000000000000e+02,2.600000000000000000e+01,2.700000000000000000e+01
3.158407214301000000e+12,6.010000000000000000e+02,2.180000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158407436879000000e+12,6.020000000000000000e+02,2.200000000000000000e+02,2.800000000000000000e+01,2.900000000000000000e+01
3.158407644102000000e+12,6.020000000000000000e+02,2.190000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158407836037000000e+12,5.970000000000000000e+02,2.220000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158408047324000000e+12,6.010000000000000000e+02,2.160000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158408261265000000e+12,6.010000000000000000e+02,2.160000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
3.158408470198000000e+12,6.010000000000000000e+02,2.160000000000000000e+02,2.700000000000000000e+01,2.800000000000000000e+01
